nb_naissances_annee,nb_naissances,code_dep_naissances
2018,14062,38
2019,13925,38
2020,13791,38
2021,13742,38
2022,13514,38
2023,12486,38
2024,12464,38
2025,11448,38
2026,10990,38
2016,2540,39
2017,2403,39
2018,2294,39
2019,2364,39
2020,2244,39
2021,2232,39
2022,2192,39
2023,2083,39
2024,1895,39
2025,1678,39
2026,1553,39
2016,3498,40
2017,3390,40
2018,3356,40
2019,3483,40
2020,3405,40
2021,3494,40
2022,3602,40
2023,3151,40
2024,3084,40
2025,2744,40
2026,2568,40
2016,3200,41
2017,3105,41
2018,3016,41
2019,2936,41
2020,2935,41
2021,2969,41
2022,3006,41
2023,2786,41
2024,2671,41
2025,2336,41
2026,2175,41
2016,8575,42
2017,8391,42
2018,8438,42
2019,8404,42
2020,8050,42
2021,7963,42
2022,7969,42
2023,7326,42
2024,7308,42
2025,6702,42
2026,6424,42
2016,2025,43
2017,2000,43
2018,2060,43
2019,1957,43
2020,1893,43
2021,1977,43
2022,1828,43
2023,1746,43
2024,1729,43
2025,1597,43
2026,1535,43
2016,16190,44
2017,16309,44
2018,16198,44
2019,16221,44
2020,16159,44
2021,16746,44
2022,16119,44
2023,14973,44
2024,14582,44
2025,13051,44
2026,12327,44
2016,7860,45
2017,7781,45
2018,7815,45
2019,7819,45
2020,7615,45
2021,7517,45
2022,7588,45
2023,6974,45
2024,6960,45
2025,6379,45
2026,6116,45
2016,1277,46
2017,1260,46
2018,1304,46
2019,1230,46
2020,1229,46
2021,1269,46
2022,1186,46
2023,1089,46
2024,1072,46
2025,952,46
2026,896,46
2016,3084,47
2017,2953,47
2018,2960,47
2019,2984,47
2020,2892,47
2021,2875,47
2022,2884,47
2023,2756,47
2024,2562,47
2025,2298,47
2026,2156,47
2016,661,48
2017,595,48
2018,580,48
2019,578,48
2020,525,48
2021,604,48
2022,583,48
2023,562,48
2024,501,48
2025,505,48
2026,494,48
2016,9104,49
2017,8984,49
2018,8776,49
2019,8483,49
2020,8384,49
2021,8742,49
2022,8480,49
2023,7945,49
2024,7786,49
2025,7346,49
2026,7105,49
2016,4555,50
2017,4437,50
2018,4306,50
2019,4403,50
2020,4257,50
2021,4419,50
2022,4365,50
2023,3938,50
2024,3948,50
2025,3702,50
2026,3575,50
2016,6410,51
2017,6091,51
2018,6069,51
2019,6113,51
2020,5843,51
2021,6041,51
2022,5790,51
2023,5174,51
2024,5146,51
2025,4641,51
2026,4396,51
2016,1611,52
2017,1550,52
2018,1507,52
2019,1424,52
2020,1381,52
2021,1445,52
2022,1361,52
2023,1375,52
2024,1250,52
2025,1213,52
2026,1177,52
2016,3225,53
2017,3012,53
2018,3024,53
2019,3003,53
2020,2968,53
2021,2986,53
2022,3040,53
2023,2873,53
2024,2841,53
2025,2816,53
2026,2786,53
2016,7795,54
2017,7507,54
2018,7139,54
2019,7003,54
2020,6819,54
2021,6785,54
