dtreffre,numdep,nomdep,numregi,nomregi,ars_type,indfoy_ars,indmtt_ars,lieures
2017,49,MAINE ET LOIRE,52,PAYS DE LA LOIRE,ARS à taux différentiel,905,344351.0,PAYS DE LA LOIRE/MAINE ET LOIRE
2017,52,HAUTE MARNE,44,GRAND EST,ARS à taux différentiel,150,50694.0,GRAND EST/HAUTE MARNE
2017,55,MEUSE,44,GRAND EST,ARS à taux différentiel,138,47617.0,GRAND EST/MEUSE
2017,57,MOSELLE,44,GRAND EST,ARS à taux différentiel,608,209150.0,GRAND EST/MOSELLE
2017,59,NORD,32,HAUTS DE FRANCE,ARS à taux différentiel,1913,722642.0,HAUTS DE FRANCE/NORD
2017,60,OISE,32,HAUTS DE FRANCE,ARS à taux différentiel,740,282012.0,HAUTS DE FRANCE/OISE
2017,61,ORNE,28,NORMANDIE,ARS à taux plein,12139,8005011.0,NORMANDIE/ORNE
2017,62,PAS DE CALAIS,32,HAUTS DE FRANCE,ARS à taux plein,82693,54912445.0,HAUTS DE FRANCE/PAS DE CALAIS
2017,68,HAUT RHIN,44,GRAND EST,ARS à taux plein,30271,19940931.0,GRAND EST/HAUT RHIN
2017,68,HAUT RHIN,44,GRAND EST,ARS à taux différentiel,440,151976.0,GRAND EST/HAUT RHIN
2017,69,RHONE,84,AUVERGNE RHONE ALPES,ARS à taux différentiel,1212,441580.0,AUVERGNE RHONE ALPES/RHONE
2017,70,HAUTE SAONE,27,BOURGOGNE FRANCHE COMTE,ARS à taux plein,10919,7154406.0,BOURGOGNE FRANCHE COMTE/HAUTE SAONE
2017,70,HAUTE SAONE,27,BOURGOGNE FRANCHE COMTE,ARS à taux différentiel,231,79778.0,BOURGOGNE FRANCHE COMTE/HAUTE SAONE
2017,71,SAONE ET LOIRE,27,BOURGOGNE FRANCHE COMTE,ARS à taux différentiel,470,160670.0,BOURGOGNE FRANCHE COMTE/SAONE ET LOIRE
2017,74,HAUTE SAVOIE,84,AUVERGNE RHONE ALPES,ARS à taux plein,22801,14404918.0,AUVERGNE RHONE ALPES/HAUTE SAVOIE
2017,74,HAUTE SAVOIE,84,AUVERGNE RHONE ALPES,ARS à taux différentiel,404,151230.0,AUVERGNE RHONE ALPES/HAUTE SAVOIE
2017,75,PARIS,11,ILE DE FRANCE,ARS à taux différentiel,650,225499.0,ILE DE FRANCE/PARIS
2017,77,SEINE ET MARNE,11,ILE DE FRANCE,ARS à taux différentiel,1196,444403.0,ILE DE FRANCE/SEINE ET MARNE
2017,78,YVELINES,11,ILE DE FRANCE,ARS à taux plein,49315,32799197.0,ILE DE FRANCE/YVELINES
2017,78,YVELINES,11,ILE DE FRANCE,ARS à taux différentiel,973,365861.0,ILE DE FRANCE/YVELINES
2017,79,DEUX SEVRES,75,NOUVELLE AQUITAINE,ARS à taux plein,14415,9276257.0,NOUVELLE AQUITAINE/DEUX SEVRES
2017,80,SOMME,32,HAUTS DE FRANCE,ARS à taux différentiel,446,159480.0,HAUTS DE FRANCE/SOMME
2017,81,TARN,76,OCCITANIE,ARS à taux différentiel,305,107495.0,OCCITANIE/TARN
2017,82,TARN ET GARONNE,76,OCCITANIE,ARS à taux plein,12944,8298626.0,OCCITANIE/TARN ET GARONNE
2017,83,VAR,93,PROVENCE ALPES COTE D AZUR,ARS à taux différentiel,730,268733.0,PROVENCE ALPES COTE D AZUR/VAR
2017,85,VENDEE,52,PAYS DE LA LOIRE,ARS à taux différentiel,861,320290.0,PAYS DE LA LOIRE/VENDEE
2017,87,HAUTE VIENNE,75,NOUVELLE AQUITAINE,ARS à taux différentiel,236,83418.0,NOUVELLE AQUITAINE/HAUTE VIENNE
2017,91,ESSONNE,11,ILE DE FRANCE,ARS à taux plein,56344,37377798.0,ILE DE FRANCE/ESSONNE
2017,92,HAUTS DE SEINE,11,ILE DE FRANCE,ARS à taux différentiel,750,268509.0,ILE DE FRANCE/HAUTS DE SEINE
2017,93,SEINE SAINT DENIS,11,ILE DE FRANCE,ARS à taux différentiel,1052,379457.0,ILE DE FRANCE/SEINE SAINT DENIS
2017,95,VAL D OISE,11,ILE DE FRANCE,ARS à taux différentiel,942,345203.0,ILE DE FRANCE/VAL D OISE
2017,973,GUYANE,03,GUYANE,ARS à taux différentiel,97,27502.0,GUYANE/GUYANE
2017,974,LA REUNION,04,LA REUNION,ARS à taux plein,80574,50027953.0,LA REUNION/LA REUNION
2016,01,AIN,84,AUVERGNE RHONE ALPES,ARS à taux différentiel,520,181498.0,AUVERGNE RHONE ALPES/AIN
