REF_AREA,TIME_PERIOD,OBS_VALUE,Code,Trimestre
D12,1993-Q2,5.6,12,T2_1993
D12,1993-Q1,5.5,12,T1_1993
D12,1992-Q4,5.6,12,T4_1992
D12,1992-Q3,5.6,12,T3_1992
D12,1992-Q2,5.5,12,T2_1992
D12,1992-Q1,5.4,12,T1_1992
D12,1991-Q4,5.3,12,T4_1991
D12,1991-Q3,5.3,12,T3_1991
D12,1991-Q2,5.3,12,T2_1991
D12,1991-Q1,5.3,12,T1_1991
D12,1990-Q4,5.3,12,T4_1990
D12,1990-Q3,5.4,12,T3_1990
D12,1990-Q2,5.5,12,T2_1990
D12,1990-Q1,5.5,12,T1_1990
D12,1989-Q4,5.4,12,T4_1989
D12,1989-Q3,5.4,12,T3_1989
D12,1989-Q2,5.5,12,T2_1989
D12,1989-Q1,5.6,12,T1_1989
D12,1988-Q4,5.7,12,T4_1988
D12,1988-Q3,5.9,12,T3_1988
D12,1988-Q2,6.0,12,T2_1988
D12,1988-Q1,6.1,12,T1_1988
D12,1987-Q4,6.1,12,T4_1987
D12,1987-Q3,6.1,12,T3_1987
D12,1987-Q2,6.3,12,T2_1987
D12,1987-Q1,6.4,12,T1_1987
D12,1986-Q4,6.3,12,T4_1986
D12,1986-Q3,6.4,12,T3_1986
D12,1986-Q2,6.5,12,T2_1986
D12,1986-Q1,6.4,12,T1_1986
D12,1985-Q4,6.5,12,T4_1985
D12,1985-Q3,6.6,12,T3_1985
D12,1985-Q2,6.4,12,T2_1985
D12,1985-Q1,6.5,12,T1_1985
D12,1984-Q4,6.5,12,T4_1984
D12,1984-Q3,6.3,12,T3_1984
D12,1984-Q2,6.3,12,T2_1984
D12,1984-Q1,6.2,12,T1_1984
D12,1983-Q4,6.0,12,T4_1983
D12,1983-Q3,5.7,12,T3_1983
D12,1983-Q2,5.6,12,T2_1983
D12,1983-Q1,5.6,12,T1_1983
D12,1982-Q4,5.5,12,T4_1982
D12,1982-Q3,5.5,12,T3_1982
D12,1982-Q2,5.3,12,T2_1982
D12,1982-Q1,5.2,12,T1_1982
D01,2024-Q3,5.6,01,T3_2024
D01,2024-Q2,5.6,01,T2_2024
D01,2024-Q1,5.7,01,T1_2024
D01,2023-Q4,5.7,01,T4_2023
D01,2023-Q3,5.6,01,T3_2023
D01,2023-Q2,5.4,01,T2_2023
D01,2023-Q1,5.3,01,T1_2023
D01,2022-Q4,5.3,01,T4_2022
D01,2022-Q3,5.4,01,T3_2022
D01,2022-Q2,5.5,01,T2_2022
D01,2022-Q1,5.5,01,T1_2022
D01,2021-Q4,5.5,01,T4_2021
D01,2021-Q3,6.0,01,T3_2021
D01,2021-Q2,6.0,01,T2_2021
D01,2021-Q1,6.2,01,T1_2021
D01,2020-Q4,6.1,01,T4_2020
D01,2020-Q3,6.8,01,T3_2020
D01,2020-Q2,5.6,01,T2_2020
D01,2020-Q1,5.8,01,T1_2020
D01,2019-Q4,6.0,01,T4_2019
D01,2019-Q3,6.0,01,T3_2019
D01,2019-Q2,6.0,01,T2_2019
D01,2019-Q1,6.2,01,T1_2019
D01,2018-Q4,6.2,01,T4_2018
D01,2018-Q3,6.3,01,T3_2018
D01,2018-Q2,6.3,01,T2_2018
D01,2018-Q1,6.4,01,T1_2018
D01,2017-Q4,6.3,01,T4_2017
D01,2017-Q3,6.8,01,T3_2017
D01,2017-Q2,6.9,01,T2_2017
D01,2017-Q1,7.0,01,T1_2017
D01,2016-Q4,7.3,01,T4_2016
D01,2016-Q3,7.3,01,T3_2016
D01,2016-Q2,7.4,01,T2_2016
D01,2016-Q1,7.4,01,T1_2016
D01,2015-Q4,7.3,01,T4_2015
D01,2015-Q3,7.3,01,T3_2015
D01,2015-Q2,7.5,01,T2_2015
D01,2015-Q1,7.3,01,T1_2015
D01,2014-Q4,7.3,01,T4_2014
D01,2014-Q3,7.1,01,T3_2014
D01,2014-Q2,6.9,01,T2_2014
D01,2014-Q1,7.0,01,T1_2014
D01,2013-Q4,7.0,01,T4_2013
D01,2013-Q3,7.2,01,T3_2013
D01,2013-Q2,7.3,01,T2_2013
D01,2013-Q1,7.3,01,T1_2013
D01,2012-Q4,7.1,01,T4_2012
D01,2012-Q3,6.9,01,T3_2012
D01,2012-Q2,6.8,01,T2_2012
D01,2012-Q1,6.6,01,T1_2012
D01,2011-Q4,6.5,01,T4_2011
D01,2011-Q3,6.3,01,T3_2011
D01,2011-Q2,6.2,01,T2_2011
D01,2011-Q1,6.3,01,T1_2011
D01,2010-Q4,6.5,01,T4_2010
D01,2010-Q3,6.6,01,T3_2010
D01,2010-Q2,6.9,01,T2_2010
D01,2010-Q1,7.0,01,T1_2010
D01,2009-Q4,7.3,01,T4_2009
D01,2009-Q3,6.9,01,T3_2009
D01,2009-Q2,7.0,01,T2_2009
D01,2009-Q1,6.3,01,T1_2009
D01,2008-Q4,5.4,01,T4_2008
D01,2008-Q3,4.8,01,T3_2008
D01,2008-Q2,4.6,01,T2_2008
D01,2008-Q1,4.4,01,T1_2008
D01,2007-Q4,4.7,01,T4_2007
D01,2007-Q3,4.9,01,T3_2007
D01,2007-Q2,4.9,01,T2_2007
D01,2007-Q1,5.2,01,T1_2007
D01,2006-Q4,5.2,01,T4_2006
D01,2006-Q3,5.4,01,T3_2006
D01,2006-Q2,5.4,01,T2_2006
D01,2006-Q1,5.6,01,T1_2006
D01,2005-Q4,5.7,01,T4_2005
D01,2005-Q3,5.6,01,T3_2005
D01,2005-Q2,5.5,01,T2_2005
D01,2005-Q1,5.3,01,T1_2005
D01,2004-Q4,5.5,01,T4_2004
D01,2004-Q3,5.4,01,T3_2004
D01,2004-Q2,5.4,01,T2_2004
